SightDate,Time1,Time2,Month,Day,Year,pod,likelypod,Direction,FishArea,Quadrant,latitude,longitude,Source,j_pod,j_likelypod,j,j_tag,k_pod,k_likelypod,k,k_tag,l_pod,l_likelypod,l,l_tag,pod_tag
1986-06-05,09:10:00,910,6,5.0,1986,orcas,k,,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,1,1,K,0,0,0,,K
1986-06-05,11:12:00,1112,6,5.0,1986,k,nan,NW,7,169,48.6266,-123.1794,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-06-05,13:20:00,1320,6,5.0,1986,orcas,k,NW,18C,163,48.711,-123.2655,TWM-SA-Pub,0,0,0,,0,1,1,K,0,0,0,,K
1986-06-06,12:30:00,1230,6,6.0,1986,orcas,jk,S,7,181,48.5065,-123.1786,TWM-SA-Pub,0,1,1,J,0,1,1,K,0,0,0,,JK
1986-06-06,12:50:00,1250,6,6.0,1986,orcas,jk,S,7,181,48.5065,-123.1786,TWM-SA-Rel,0,1,1,J,0,1,1,K,0,0,0,,JK
1986-06-06,15:15:00,1515,6,6.0,1986,jk,nan,NW,7,184,48.4629,-123.1092,TWM-SA-Rel,1,0,1,J,1,0,1,K,0,0,0,,JK
1986-06-06,15:20:00,1520,6,6.0,1986,orcas,jk,,7,185,48.4454,-123.0354,TWM-SA-Pub,0,1,1,J,0,1,1,K,0,0,0,,JK
1986-06-06,16:15:00,1615,6,6.0,1986,orcas,jk,N,7,181,48.5065,-123.1786,TWM-SA-Pub,0,1,1,J,0,1,1,K,0,0,0,,JK
1986-06-06,18:00:00,1800,6,6.0,1986,jk,nan,NW,7,181,48.5065,-123.1786,TWM-SA-Rel,1,0,1,J,1,0,1,K,0,0,0,,JK
1986-06-06,19:00:00,1900,6,6.0,1986,jk,nan,S,7,176,48.5602,-123.2168,TWM-SA-Rel,1,0,1,J,1,0,1,K,0,0,0,,JK
1986-06-06,20:20:00,2020,6,6.0,1986,orcas,jk,N,7,181,48.5065,-123.1786,TWM-SA-Rel,0,1,1,J,0,1,1,K,0,0,0,,JK
1986-06-07,11:45:00,1145,6,7.0,1986,k,nan,S,7,181,48.5065,-123.1786,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-06-07,11:45:00,1145,6,7.0,1986,k,nan,N,7,181,48.5065,-123.1786,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-06-07,15:15:00,1515,6,7.0,1986,k,nan,W,7,184,48.4629,-123.1092,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-06-07,16:00:00,1600,6,7.0,1986,orcas,k,N,7,185,48.4454,-123.0354,TWM-SA-Pub,0,0,0,,0,1,1,K,0,0,0,,K
1986-06-07,16:20:00,1620,6,7.0,1986,k,nan,NW,7,185,48.4454,-123.0354,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-06-07,,,6,7.0,1986,orcas,nan,E,7,188,48.5386,-122.9544,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1986-06-08,10:30:00,1030,6,8.0,1986,k,nan,N,7,181,48.5065,-123.1786,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-06-08,11:00:00,1100,6,8.0,1986,k,nan,N,7,181,48.5065,-123.1786,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-06-08,11:00:00,1100,6,8.0,1986,k,nan,N,7,181,48.5065,-123.1786,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-06-08,11:50:00,1150,6,8.0,1986,k,nan,S,7,181,48.5065,-123.1786,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-06-08,12:10:00,1210,6,8.0,1986,k,nan,S,7,181,48.5065,-123.1786,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-06-08,12:10:00,1210,6,8.0,1986,k,nan,S,7,181,48.5065,-123.1786,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-06-08,12:30:00,1230,6,8.0,1986,k,nan,S,7,181,48.5065,-123.1786,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-06-08,13:45:00,1345,6,8.0,1986,k,nan,S,7,184,48.4629,-123.1092,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-06-08,14:20:00,1420,6,8.0,1986,k,nan,S,7,184,48.4629,-123.1092,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-06-08,18:10:00,1810,6,8.0,1986,k,nan,N,7,181,48.5065,-123.1786,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-06-08,18:30:00,1830,6,8.0,1986,k,nan,N,7,181,48.5065,-123.1786,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-06-08,19:30:00,1930,6,8.0,1986,k,nan,S,7,181,48.5065,-123.1786,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-06-08,22:10:00,2210,6,8.0,1986,orcas,k,N,7,181,48.5065,-123.1786,TWM-SA-Rel,0,0,0,,0,1,1,K,0,0,0,,K
1986-06-09,09:15:00,915,6,9.0,1986,k,nan,S,7,176,48.5602,-123.2168,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-06-09,09:30:00,930,6,9.0,1986,orcas,k,S,7,176,48.5602,-123.2168,TWM-SA-Rel,0,0,0,,0,1,1,K,0,0,0,,K
1986-06-09,10:00:00,1000,6,9.0,1986,orcas,k,S,7,184,48.4629,-123.1092,TWM-SA-Pub,0,0,0,,0,1,1,K,0,0,0,,K
1986-06-09,11:30:00,1130,6,9.0,1986,orcas,k,,7,186,48.4412,-122.9393,TWM-SA-Pub,0,0,0,,0,1,1,K,0,0,0,,K
1986-06-09,12:00:00,1200,6,9.0,1986,orcas,k,N,7,184,48.4629,-123.1092,TWM-SA-Pub,0,0,0,,0,1,1,K,0,0,0,,K
1986-06-09,13:50:00,1350,6,9.0,1986,k,nan,S,7,176,48.5602,-123.2168,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-06-09,15:30:00,1530,6,9.0,1986,k,nan,E,7,181,48.5065,-123.1786,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-06-09,16:00:00,1600,6,9.0,1986,orcas,k,E,7,184,48.4629,-123.1092,TWM-SA-Rel,0,0,0,,0,1,1,K,0,0,0,,K
1986-06-09,16:30:00,1630,6,9.0,1986,k,nan,E,7,184,48.4629,-123.1092,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-06-10,07:30:00,730,6,10.0,1986,orcas,k,,7,185,48.4454,-123.0354,TWM-SA-Pub,0,0,0,,0,1,1,K,0,0,0,,K
1986-06-10,10:11:00,1011,6,10.0,1986,k,nan,N,7,176,48.5602,-123.2168,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-06-10,11:40:00,1140,6,10.0,1986,k,nan,NW,7,169,48.6266,-123.1794,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-06-10,12:10:00,1210,6,10.0,1986,k,nan,N,7,169,48.6266,-123.1794,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-06-10,12:30:00,1230,6,10.0,1986,k,nan,NW then SE,7,169,48.6266,-123.1794,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-06-10,14:30:00,1430,6,10.0,1986,k,nan,S,7,176,48.5602,-123.2168,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-06-10,15:00:00,1500,6,10.0,1986,k,nan,SE,7,176,48.5602,-123.2168,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-06-10,17:20:00,1720,6,10.0,1986,orcas,k,N,7,181,48.5065,-123.1786,TWM-SA-Rel,0,0,0,,0,1,1,K,0,0,0,,K
